,E-105-12-STD,E-115-12-STD,E-130-12-STD,E-140-12-STD,E-155-12-STD,E-165-12-STD,E-180-12-STD,E-105-12-AFV,E-115-12-AFV,E-130-12-AFV,E-140-12-AFV,E-155-12-AFV,E-165-12-AFV,E-180-12-AFV,O-105-12-STD,O-115-12-STD,O-130-12-STD,O-140-12-STD,O-155-12-STD,O-165-12-STD,O-180-12-STD,O-105-12-AFV,O-115-12-AFV,O-130-12-AFV,O-140-12-AFV,O-155-12-AFV,O-165-12-AFV,O-180-12-AFV,E-105-18-STD,E-115-18-STD,E-130-18-STD,E-140-18-STD,E-155-18-STD,E-165-18-STD,E-180-18-STD,E-105-18-AFV,E-115-18-AFV,E-130-18-AFV,E-140-18-AFV,E-155-18-AFV,E-165-18-AFV,E-180-18-AFV,O-105-18-STD,O-115-18-STD,O-130-18-STD,O-140-18-STD,O-155-18-STD,O-165-18-STD,O-180-18-STD,O-105-18-AFV,O-115-18-AFV,O-130-18-AFV,O-140-18-AFV,O-155-18-AFV,O-165-18-AFV,O-180-18-AFV,E-105-20-STD,E-115-20-STD,E-130-20-STD,E-140-20-STD,E-155-20-STD,E-165-20-STD,E-180-20-STD,E-105-20-AFV,E-115-20-AFV,E-130-20-AFV,E-140-20-AFV,E-155-20-AFV,E-165-20-AFV,E-180-20-AFV,O-105-20-STD,O-115-20-STD,O-130-20-STD,O-140-20-STD,O-155-20-STD,O-165-20-STD,O-180-20-STD,O-105-20-AFV,O-115-20-AFV,O-130-20-AFV,O-140-20-AFV,O-155-20-AFV,O-165-20-AFV,O-180-20-AFV,E-105-22-STD,E-115-22-STD,E-130-22-STD,E-140-22-STD,E-155-22-STD,E-165-22-STD,E-180-22-STD,E-105-22-AFV,E-115-22-AFV,E-130-22-AFV,E-140-22-AFV,E-155-22-AFV,E-165-22-AFV,E-180-22-AFV,O-105-22-STD,O-115-22-STD,O-130-22-STD,O-140-22-STD,O-155-22-STD,O-165-22-STD,O-180-22-STD,O-105-22-AFV,O-115-22-AFV,O-130-22-AFV,O-140-22-AFV,O-155-22-AFV,O-165-22-AFV,O-180-22-AFV,E-105-24-STD,E-115-24-STD,E-130-24-STD,E-140-24-STD,E-155-24-STD,E-165-24-STD,E-180-24-STD,E-105-24-AFV,E-115-24-AFV,E-130-24-AFV,E-140-24-AFV,E-155-24-AFV,E-165-24-AFV,E-180-24-AFV,O-105-24-STD,O-115-24-STD,O-130-24-STD,O-140-24-STD,O-155-24-STD,O-165-24-STD,O-180-24-STD,O-105-24-AFV,O-115-24-AFV,O-130-24-AFV,O-140-24-AFV,O-155-24-AFV,O-165-24-AFV,O-180-24-AFV,E-105-26-STD,E-115-26-STD,E-130-26-STD,E-140-26-STD,E-155-26-STD,E-165-26-STD,E-180-26-STD,E-105-26-AFV,E-115-26-AFV,E-130-26-AFV,E-140-26-AFV,E-155-26-AFV,E-165-26-AFV,E-180-26-AFV,O-105-26-STD,O-115-26-STD,O-130-26-STD,O-140-26-STD,O-155-26-STD,O-165-26-STD,O-180-26-STD,O-105-26-AFV,O-115-26-AFV,O-130-26-AFV,O-140-26-AFV,O-155-26-AFV,O-165-26-AFV,O-180-26-AFV,E-105-28-STD,E-115-28-STD,E-130-28-STD,E-140-28-STD,E-155-28-STD,E-165-28-STD,E-180-28-STD,E-105-28-AFV,E-115-28-AFV,E-130-28-AFV,E-140-28-AFV,E-155-28-AFV,E-165-28-AFV,E-180-28-AFV,O-105-28-STD,O-115-28-STD,O-130-28-STD,O-140-28-STD,O-155-28-STD,O-165-28-STD,O-180-28-STD,O-105-28-AFV,O-115-28-AFV,O-130-28-AFV,O-140-28-AFV,O-155-28-AFV,O-165-28-AFV,O-180-28-AFV,E-105-30-STD,E-115-30-STD,E-130-30-STD,E-140-30-STD,E-155-30-STD,E-165-30-STD,E-180-30-STD,E-105-30-AFV,E-115-30-AFV,E-130-30-AFV,E-140-30-AFV,E-155-30-AFV,E-165-30-AFV,E-180-30-AFV,O-105-30-STD,O-115-30-STD,O-130-30-STD,O-140-30-STD,O-155-30-STD,O-165-30-STD,O-180-30-STD,O-105-30-AFV,O-115-30-AFV,O-130-30-AFV,O-140-30-AFV,O-155-30-AFV,O-165-30-AFV,O-180-30-AFV
T-30GL,60,60,54,54,42,42,36,60,60,60,54,42,42,36,60,54,48,42,36,36,36,60,60,60,54,42,42,36,60,60,54,54,42,36,30,60,60,60,54,42,36,30,60,54,48,42,36,36,30,60,60,60,54,42,36,30,60,60,54,54,42,36,36,60,60,60,54,42,36,36,60,54,48,42,36,36,36,60,60,60,54,42,36,36,60,60,54,54,42,36,30,60,60,60,54,42,36,30,48,48,48,42,36,36,30,48,48,48,48,42,36,30,60,60,54,54,42,42,36,60,60,60,54,42,42,36,48,48,48,42,36,30,24,48,48,48,42,36,30,24,60,60,54,54,48,42,36,60,60,60,54,48,48,42,54,48,42,42,36,36,30,60,54,54,48,42,42,36,60,60,54,54,48,42,36,60,60,60,54,48,48,42,54,48,42,42,36,36,30,54,54,48,42,42,36,30,60,60,54,54,48,42,36,60,60,60,54,48,48,42,54,48,42,42,36,36,30,54,54,48,42,42,36,30
T-40GL,48,48,42,42,42,42,36,60,60,60,54,42,42,36,48,48,42,42,36,36,36,60,60,60,54,42,42,36,48,48,42,42,42,36,30,60,60,60,54,42,36,30,48,48,42,42,36,36,30,54,54,54,54,42,36,30,48,48,42,42,42,36,36,60,60,60,42,42,36,36,48,48,42,42,36,36,36,48,48,48,48,42,36,36,48,48,42,42,42,36,30,60,60,60,54,42,36,30,42,42,42,42,36,36,30,42,42,42,42,42,36,30,48,48,42,42,42,42,36,60,60,60,54,42,42,36,42,42,42,42,36,30,24,42,42,42,42,36,30,24,48,48,42,42,42,42,36,60,60,60,54,48,48,42,48,48,42,42,36,36,30,54,54,54,48,42,42,36,48,48,42,42,48,42,36,60,60,60,54,48,48,42,48,48,42,42,36,36,30,48,48,48,42,42,36,30,48,48,42,42,48,42,36,60,60,60,54,48,48,42,48,48,42,42,36,36,30,48,48,48,42,42,36,30
T-50GL,40,40,40,40,40,40,36,54,54,54,54,42,42,36,40,40,40,40,36,36,36,54,54,54,54,42,42,36,40,40,40,40,40,36,30,54,54,54,54,42,36,30,40,40,40,40,36,36,30,48,48,48,48,42,36,30,40,40,40,40,40,36,36,48,48,48,40,40,36,36,40,40,40,40,36,36,36,42,42,42,42,42,36,36,40,40,40,40,40,36,30,48,48,48,48,48,36,30,36,30,30,30,30,30,30,36,30,30,30,30,30,30,40,40,40,40,40,40,36,48,48,48,48,42,42,36,30,30,30,30,30,30,24,30,30,30,30,30,30,24,40,40,40,40,40,40,36,54,54,54,54,48,48,42,40,40,40,40,36,36,30,48,48,48,42,42,36,36,40,40,40,40,40,40,36,48,48,48,48,48,48,42,40,40,40,40,36,36,30,42,42,42,42,36,36,30,40,40,40,40,40,40,36,48,48,48,48,48,48,42,40,40,40,40,36,36,30,42,42,42,42,36,36,30
T-60GL,36,36,36,36,36,36,36,48,48,48,48,42,42,36,36,36,36,36,36,36,36,48,48,48,48,42,42,36,36,36,36,36,36,36,30,42,42,42,42,42,36,30,36,36,36,36,36,36,30,36,36,36,36,36,36,30,36,36,36,36,36,36,36,42,42,42,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,30,36,36,36,36,36,36,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,36,36,36,36,36,36,36,36,36,36,36,36,36,36,30,30,30,30,30,30,24,30,30,30,30,30,30,24,36,36,36,36,36,36,36,48,48,48,48,48,48,42,36,36,36,36,36,36,30,42,42,42,42,36,36,30,36,36,36,36,36,36,36,42,42,36,36,36,36,36,36,36,30,30,30,30,24,36,36,30,30,30,30,24,36,36,36,36,36,36,36,42,42,36,36,36,36,36,36,36,30,30,30,30,24,36,36,30,30,30,30,24
T-70GL,32,32,32,32,32,32,32,42,42,42,42,42,42,36,32,32,32,32,32,32,32,42,42,42,42,42,42,36,32,32,30,30,30,30,30,36,36,36,36,36,36,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32,32,32,32,32,30,36,36,36,32,32,36,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,24,24,24,24,24,24,24,24,24,24,24,24,24,24,30,30,30,30,30,30,30,30,30,30,30,30,30,30,24,24,24,24,24,24,24,24,24,24,24,24,24,24,32,32,32,32,32,32,32,42,42,42,42,42,36,36,32,32,32,32,32,30,30,36,36,36,36,36,30,30,32,32,32,32,30,30,30,36,36,36,36,30,30,30,30,30,30,24,24,24,24,30,30,30,24,24,24,24,32,32,32,32,30,30,30,36,36,36,36,30,30,30,30,30,30,24,24,24,24,30,30,30,24,24,24,24
T-80GL,30,30,30,30,30,30,30,42,42,42,42,36,36,36,30,30,30,30,30,30,30,42,42,42,42,36,36,36,30,30,30,30,30,30,30,30,30,30,30,30,30,30,24,24,24,24,24,24,24,24,24,24,24,24,24,24,30,30,30,30,30,30,30,30,30,30,30,30,30,30,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,18,18,18,18,18,18,24,18,18,18,18,18,18,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,18,18,18,18,18,24,24,18,18,18,18,18,30,30,30,30,30,30,30,42,42,42,42,36,36,36,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,24,24,24,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,24,24,24,24,24,24,0
T-90GL,30,30,30,30,30,30,30,36,36,36,36,36,30,30,30,30,30,30,30,30,30,36,36,36,36,30,30,30,24,24,24,24,24,24,24,24,24,24,24,24,24,24,18,18,18,18,18,18,18,18,18,18,18,18,18,18,24,24,24,24,24,24,24,24,24,24,24,24,24,24,18,18,18,18,18,18,18,18,18,18,18,18,18,18,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,18,18,18,18,0,0,0,18,18,0,0,0,0,0,18,18,0,0,0,0,0,18,18,18,18,0,0,0,18,18,18,18,0,0,0,18,18,0,0,0,0,0,18,18,0,0,0,0,0
T-20LL,60,60,54,54,42,42,36,60,60,60,54,42,42,36,60,54,48,42,36,36,36,60,60,60,54,42,42,36,60,60,54,54,42,36,30,60,60,60,54,42,36,30,60,54,48,42,36,36,30,60,60,60,54,42,36,30,60,60,54,54,42,36,36,60,60,60,54,42,36,36,60,54,48,42,36,36,36,60,60,60,54,42,36,36,60,60,54,54,42,36,30,60,60,60,54,42,36,30,48,48,48,42,36,36,30,48,48,48,48,42,36,30,60,60,54,54,42,42,36,60,60,60,54,42,42,36,48,48,48,42,36,30,24,48,48,48,42,36,30,24,60,60,54,54,48,42,36,60,60,60,54,48,48,42,54,48,42,42,36,36,30,60,54,54,48,42,42,36,60,60,54,54,48,42,36,60,60,60,54,48,48,42,54,48,42,42,36,36,30,54,54,48,42,42,36,30,60,60,54,54,48,42,36,60,60,60,54,48,48,42,54,48,42,42,36,36,30,54,54,48,42,42,36,30
T-27LL,48,48,42,42,42,42,36,60,60,60,54,42,42,36,48,48,42,42,36,36,36,60,60,60,54,42,42,36,48,48,42,42,42,36,30,60,60,60,54,42,36,30,48,48,42,42,36,36,30,54,54,54,54,42,36,30,48,48,42,42,42,36,36,60,60,60,42,42,36,36,48,48,42,42,36,36,36,48,48,48,48,42,36,36,48,48,42,42,42,36,30,60,60,60,54,42,36,30,42,42,42,42,36,36,30,42,42,42,42,42,36,30,48,48,42,42,42,42,36,60,60,60,54,42,42,36,42,42,42,42,36,30,24,42,42,42,42,36,30,24,48,48,42,42,42,42,36,60,60,60,54,48,48,42,48,48,42,42,36,36,30,54,54,54,48,42,42,36,48,48,42,42,48,42,36,60,60,60,54,48,48,42,48,48,42,42,36,36,30,48,48,48,42,42,36,30,48,48,42,42,48,42,36,60,60,60,54,48,48,42,48,48,42,42,36,36,30,48,48,48,42,42,36,30
T-34LL,40,40,40,40,40,40,36,54,54,54,54,42,42,36,40,40,40,40,36,36,36,54,54,54,54,42,42,36,40,40,40,40,40,36,30,54,54,54,54,42,36,30,40,40,40,40,36,36,30,48,48,48,48,42,36,30,40,40,40,40,40,36,36,48,48,48,40,40,36,36,40,40,40,40,36,36,36,42,42,42,42,42,36,36,40,40,40,40,40,36,30,48,48,48,48,48,36,30,36,30,30,30,30,30,30,36,30,30,30,30,30,30,40,40,40,40,40,40,36,48,48,48,48,42,42,36,30,30,30,30,30,30,24,30,30,30,30,30,30,24,40,40,40,40,40,40,36,54,54,54,54,48,48,42,40,40,40,40,36,36,30,48,48,48,42,42,36,36,40,40,40,40,40,40,36,48,48,48,48,48,48,42,40,40,40,40,36,36,30,42,42,42,42,36,36,30,40,40,40,40,40,40,36,48,48,48,48,48,48,42,40,40,40,40,36,36,30,42,42,42,42,36,36,30
T-41LL,36,36,36,36,36,36,36,48,48,48,48,42,42,36,36,36,36,36,36,36,36,48,48,48,48,42,42,36,36,36,36,36,36,36,30,42,42,42,42,42,36,30,36,36,36,36,36,36,30,36,36,36,36,36,36,30,36,36,36,36,36,36,36,42,42,42,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,30,36,36,36,36,36,36,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,36,36,36,36,36,36,36,36,36,36,36,36,36,36,30,30,30,30,30,30,24,30,30,30,30,30,30,24,36,36,36,36,36,36,36,48,48,48,48,48,48,42,36,36,36,36,36,36,30,42,42,42,42,36,36,30,36,36,36,36,36,36,36,42,42,36,36,36,36,36,36,36,30,30,30,30,24,36,36,30,30,30,30,24,36,36,36,36,36,36,36,42,42,36,36,36,36,36,36,36,30,30,30,30,24,36,36,30,30,30,30,24
T-47LL,32,32,32,32,32,32,32,42,42,42,42,42,42,36,32,32,32,32,32,32,32,42,42,42,42,42,42,36,32,32,30,30,30,30,30,36,36,36,36,36,36,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32,32,32,32,32,30,36,36,36,32,32,36,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,24,24,24,24,24,24,24,24,24,24,24,24,24,24,30,30,30,30,30,30,30,30,30,30,30,30,30,30,24,24,24,24,24,24,24,24,24,24,24,24,24,24,32,32,32,32,32,32,32,42,42,42,42,42,36,36,32,32,32,32,32,30,30,36,36,36,36,36,30,30,32,32,32,32,30,30,30,36,36,36,36,30,30,30,30,30,30,24,24,24,24,30,30,30,24,24,24,24,32,32,32,32,30,30,30,36,36,36,36,30,30,30,30,30,30,24,24,24,24,30,30,30,24,24,24,24
T-54LL,30,30,30,30,30,30,30,42,42,42,42,36,36,36,30,30,30,30,30,30,30,42,42,42,42,36,36,36,30,30,30,30,30,30,30,30,30,30,30,30,30,30,24,24,24,24,24,24,24,24,24,24,24,24,24,24,30,30,30,30,30,30,30,30,30,30,30,30,30,30,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,18,18,18,18,18,18,24,18,18,18,18,18,18,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,18,18,18,18,18,24,24,18,18,18,18,18,30,30,30,30,30,30,30,42,42,42,42,36,36,36,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,24,24,24,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,24,24,24,24,24,24,0
T-61LL,30,30,30,30,30,30,30,36,36,36,36,36,30,30,30,30,30,30,30,30,30,36,36,36,36,30,30,30,24,24,24,24,24,24,24,24,24,24,24,24,24,24,18,18,18,18,18,18,18,18,18,18,18,18,18,18,24,24,24,24,24,24,24,24,24,24,24,24,24,24,18,18,18,18,18,18,18,18,18,18,18,18,18,18,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,18,18,18,18,0,0,0,18,18,0,0,0,0,0,18,18,0,0,0,0,0,18,18,18,18,0,0,0,18,18,18,18,0,0,0,18,18,0,0,0,0,0,18,18,0,0,0,0,0
M-30GL,60,60,54,54,48,42,42,60,60,60,54,48,48,42,60,54,48,42,36,36,36,60,60,60,54,48,48,42,60,60,54,54,48,42,42,60,60,60,54,48,48,42,60,54,48,42,36,36,36,60,60,60,54,48,48,42,60,60,54,54,48,42,42,60,60,60,54,48,42,42,60,54,48,42,36,36,36,60,60,60,54,48,48,42,60,60,54,54,48,42,36,60,60,60,54,48,48,36,54,54,48,42,36,36,36,54,54,54,54,48,42,36,60,60,54,54,48,42,42,60,60,60,54,48,48,42,54,54,48,42,36,36,30,54,54,54,54,48,36,30,60,60,54,54,48,42,36,60,60,60,54,48,48,42,54,48,42,42,36,36,30,60,60,60,54,48,42,36,60,60,54,54,48,42,36,60,60,60,54,48,48,42,54,48,42,42,36,36,30,54,54,54,48,42,42,36,60,60,54,54,48,42,36,60,60,60,54,48,48,42,54,48,42,42,36,36,30,54,54,54,48,42,42,36
M-40GL,48,48,42,42,42,42,42,60,60,60,54,48,48,42,48,48,42,42,36,36,36,60,60,60,54,48,48,42,48,48,42,42,42,42,42,60,60,60,54,48,48,42,48,48,42,42,36,36,36,60,60,60,54,48,48,42,48,48,42,42,42,42,42,60,60,60,42,42,42,42,48,48,42,42,36,36,36,54,54,54,54,48,48,42,48,48,42,42,42,42,36,60,60,60,54,48,48,36,42,42,42,42,36,36,36,42,42,42,42,42,42,36,48,48,42,42,42,42,42,60,60,60,54,48,48,42,42,42,42,42,36,36,30,42,42,42,42,42,36,30,48,48,42,42,42,42,36,60,60,60,54,48,48,42,48,48,42,42,36,36,30,54,54,54,54,48,42,36,48,48,42,48,48,42,36,60,60,60,54,48,48,42,48,48,42,42,36,36,30,48,48,48,48,42,42,36,48,48,42,48,48,42,36,60,60,60,54,48,48,42,48,48,42,42,36,36,30,48,48,48,48,42,42,36
M-50GL,40,40,40,40,40,40,40,54,54,54,54,48,48,42,40,40,40,40,36,36,36,54,54,54,54,48,48,42,40,40,40,40,40,40,40,54,54,54,54,48,48,42,40,40,40,40,36,36,36,48,48,48,48,48,48,42,40,40,40,40,40,40,40,48,48,48,40,40,40,40,40,40,40,40,36,36,36,42,42,42,42,42,42,42,40,40,40,40,40,40,36,48,48,48,48,48,48,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,40,40,40,40,40,40,40,48,48,48,48,48,48,42,36,36,36,36,36,36,30,36,36,36,36,36,36,30,40,40,40,40,40,40,36,54,54,54,54,48,48,42,40,40,40,40,36,36,30,48,48,48,48,48,42,36,40,40,40,40,40,40,36,54,54,54,48,48,48,42,40,40,40,40,36,36,30,42,42,42,42,42,36,36,40,40,40,40,40,40,36,54,54,54,48,48,48,42,40,40,40,40,36,36,30,42,42,42,42,42,36,36
