Spacing,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,,,,
105,60,60,60,60,60,60,60,60,60,60,60,60,60,54,54,54,48,48,48,48,48,,,,,,,
115,60,60,60,60,60,60,60,60,60,60,54,54,54,48,48,48,42,42,42,42,42,,,Leg Height,,,Wind Speed,
130,54,54,54,54,54,54,54,54,54,54,48,48,48,42,42,42,36,36,36,36,36,,,12,,,105,
140,54,54,54,54,54,54,54,54,54,54,36,36,36,30,30,30,24,24,24,24,24,,,,,,,
155,48,48,48,48,48,48,48,48,48,48,30,30,30,24,24,24,18,18,18,18,18,,Match,13,,,1,Match
165,42,42,42,42,42,42,42,42,36,36,24,24,24,18,18,18,12,12,12,12,12,,,,Index,,,
180,42,42,42,42,42,42,42,42,36,36,24,24,24,18,18,18,12,12,12,12,12,,,,60,,,
Original Verticals,12,18,20,22,24,26,28,30,,,,,,,,,,,,,,,,,,,,
Verts,4,5,5,6,6,7,7,7,,,,,,,,,,,,,,,,,,,,
,Match,Width,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,24,,,,,,,,,,,,,,,,,,,,,,,,,,
,Index,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,,,,,,,,,